ID,Cutting speed vc [m/min],Spindle speed n [1/min],Feed f [mm/rev],Feed rate vf [mm/min],Power Pc [kW],Cooling [%],Material,Drill Bit Type,Process Time [sec],Main Failure,BEF,CCF,FWF,WDF
12444,17.28,458,0.241,110,71.97,50,K,H,33.04,0,0,0,0,0
12445,22.24,590,0.162,96,80.14,25,P,N,37.81,0,0,0,0,0
12446,22.86,606,0.201,122,105.25,50,P,N,34.87,0,0,0,0,0
12447,29.44,781,0.2,157,173.68,75,N,W,18.89,0,0,0,0,0
12448,17.03,452,0.237,107,68.65,25,K,H,32.24,0,0,0,0,0
12449,29.99,796,0.26,207,233.81,100,N,W,21.67,0,0,0,0,0
12450,29.47,782,0.209,163,181.06,75,N,W,17.09,0,0,0,0,0
12451,30.31,804,0.261,209,239.35,100,N,W,19.99,0,0,0,0,0
12452,22.59,599,0.179,107,91.2,50,P,N,35.69,0,0,0,0,0
12453,30.67,813,0.277,226,260.78,100,N,W,21.6,0,0,0,0,0
12454,22.77,604,0.185,112,95.81,50,P,N,35.73,0,0,0,0,0
12455,17.85,474,0.273,129,87,50,K,H,32.52,0,0,0,0,0
12456,17.05,452,0.247,112,71.75,50,K,H,32.99,0,0,0,0,0
12457,22.48,596,0.173,103,87.3,25,P,N,34.96,0,0,0,0,0
12458,29.74,789,0.224,177,198.45,75,N,W,18.78,0,0,0,0,0
12459,17.03,452,0.225,102,65.32,25,K,H,33.92,0,0,0,0,0
12460,29.85,792,0.241,191,215.07,75,N,W,18.15,0,0,0,0,0
12461,17.36,461,0.254,117,76.55,50,K,H,31.32,0,0,0,0,0
12462,30.27,803,0.244,196,224.08,75,N,W,19.28,0,0,0,0,0
12463,17.39,461,0.264,122,79.77,50,K,H,32.78,0,0,0,0,0
12464,16.98,450,0.234,105,67.52,25,K,H,31.49,0,0,0,0,0
12465,30.6,812,0.288,234,269.91,100,N,W,19.99,0,0,0,0,0
12466,17.37,461,0.244,113,73.75,50,K,H,33.2,0,0,0,0,0
12467,22.66,601,0.187,112,95.89,50,P,N,34.71,0,0,0,0,0
12468,29.76,789,0.249,196,220.28,75,N,W,21.48,0,0,0,0,0
12469,17.64,468,0.264,124,82.18,50,K,N,33.53,1,0,0,0,1
12470,22.6,599,0.159,95,81.19,25,P,H,35.4,1,0,1,0,1
12471,17.91,475,0.269,128,86.2,50,K,H,32.37,0,0,0,0,0
12472,30.49,809,0.253,204,234.86,100,N,W,19.76,0,0,0,0,0
12473,17.59,467,0.262,122,81.1,50,K,H,33.66,0,0,0,0,0
12474,22.8,605,0.19,115,98.68,50,P,N,36.57,0,0,0,0,0
12475,22.37,593,0.173,103,86.65,25,P,N,33.83,0,0,0,0,0
12476,30.35,805,0.281,226,258.45,100,N,W,18.43,0,0,0,0,0
12477,17.18,456,0.22,100,64.91,25,K,H,32.88,0,0,0,0,0
12478,22.57,599,0.198,118,100.75,50,P,N,35.43,0,0,0,0,0
12479,22.77,604,0.189,114,98.06,50,P,N,35.96,0,0,0,0,0
12480,22.66,601,0.175,105,90,50,P,N,33.39,0,0,0,0,0
12481,17.17,455,0.246,112,72.59,50,K,H,33.35,0,0,0,0,0
12482,22.61,600,0.207,124,106.02,50,P,N,35.45,0,0,0,0,0
12483,17.59,467,0.281,131,86.85,75,K,H,32.92,0,0,0,0,0
12484,17.79,472,0.266,126,84.3,50,K,H,32.69,0,0,0,0,0
12485,22.7,602,0.181,109,93.32,50,P,N,35.58,0,0,0,0,0
12486,23.13,613,0.198,122,106.1,50,P,N,34.68,0,0,0,0,0
12487,30.04,797,0.233,186,210.73,75,N,W,19.85,0,0,0,0,0
12488,22.21,589,0.156,120,77.16,25,P,N,35.46,0,0,0,0,0
12489,30.18,801,0.25,200,227.98,75,N,W,20.09,0,0,0,0,0
12490,22.45,596,0.191,114,96.49,50,P,N,34.26,0,0,0,0,0
12491,17.65,468,0.254,119,79.06,50,K,H,32.92,0,0,0,0,0
12492,17.56,466,0.257,120,79.31,50,K,H,33.46,0,0,0,0,0
12493,22.55,598,0.194,116,98.56,50,P,N,33.14,0,0,0,0,0
12494,29.26,776,0.206,160,176.71,75,N,W,18.53,0,0,0,0,0
12495,30.58,811,0.267,217,249.9,100,N,W,19.81,0,0,0,0,0
12496,30.22,802,0.249,199,226.99,75,N,W,19.86,0,0,0,0,0
12497,22.86,606,0.177,107,92.45,50,P,N,36.36,0,0,0,0,0
12498,29.56,784,0.21,164,183.26,75,N,W,19.21,0,0,0,0,0
12499,30.32,804,0.274,220,251.42,100,N,W,18.55,0,0,0,0,0
12500,29.79,790,0.216,171,191.87,75,N,W,20.56,0,0,0,0,0
12501,17.61,467,0.28,131,86.81,75,K,H,32.43,0,0,0,0,0
12502,29.64,786,0.222,223,194.79,75,N,W,22.34,1,0,0,1,0
12503,22.79,605,0.188,114,97.57,50,P,N,34.93,0,0,0,0,0
12504,29.9,793,0.25,198,223.42,75,N,W,18.82,0,0,0,0,0
12505,30.15,800,0.233,186,211.69,75,N,W,19.61,0,0,0,0,0
12506,29.82,791,0.258,204,229.31,100,N,W,18.29,0,0,0,0,0
12507,22.41,594,0.18,107,90.52,50,P,N,33.82,0,0,0,0,0
12508,17.5,464,0.26,121,79.66,50,K,H,32.28,0,0,0,0,0
12509,17.14,455,0.248,113,72.71,50,K,H,32.03,0,0,0,0,0
12510,22.41,595,0.197,117,98.95,50,P,N,34.11,0,0,0,0,0
12511,29.75,789,0.231,182,204.55,75,N,W,19.8,0,0,0,0,0
12512,22.44,595,0.173,134,87.03,25,P,N,35.07,1,0,1,0,0
12513,17.54,465,0.244,114,75.19,50,K,H,32.34,0,0,0,0,0
12514,22.61,600,0.183,110,93.67,50,P,N,36.02,0,0,0,0,0
12515,29.71,788,0.239,188,211.03,75,N,W,20.38,0,0,0,0,0
12516,17.58,466,0.273,127,84.43,50,K,H,31.91,0,0,0,0,0
12517,22.78,604,0.189,114,97.86,50,P,N,34.92,0,0,0,0,0
12518,29.53,783,0.215,169,187.75,75,N,W,20.11,0,0,0,0,0
12519,22.23,590,0.162,95,79.98,25,P,N,34.98,0,0,0,0,0
12520,22.45,595,0.171,102,86.29,25,P,N,35.47,0,0,0,0,0
12521,22.62,600,0.206,123,105.19,50,P,N,36.87,0,0,0,0,0
12522,29.8,791,0.245,194,217.44,75,N,W,20.52,0,0,0,0,0
12523,17.29,459,0.232,106,69.41,25,K,H,34.27,0,0,0,0,0
12524,22.95,609,0.18,110,94.87,50,P,N,34.2,0,0,0,0,0
12525,30.14,800,0.24,192,218.34,75,N,W,20.62,0,0,0,0,0
12526,17.48,464,0.282,131,86.1,75,K,H,33.06,0,0,0,0,0
12527,30.62,812,0.285,231,266.98,100,N,W,18.83,0,0,0,0,0
12528,30.17,800,0.25,200,227.1,75,N,W,18.74,0,0,0,0,0
12529,29.88,792,0.246,195,219.88,75,N,W,19.45,0,0,0,0,0
12530,17.12,454,0.234,106,68.66,25,K,H,35.41,0,0,0,0,0
12531,30.67,814,0.282,229,264.97,100,N,W,20.72,0,0,0,0,0
12532,22.47,596,0.149,89,75.44,25,P,N,34.48,0,0,0,0,0
12533,22.53,598,0.172,103,87.1,25,P,N,33.63,0,0,0,0,0
12534,22.47,596,0.168,100,84.77,25,P,W,33.8,1,0,1,0,1
12535,22.61,600,0.194,117,99.34,50,P,N,35.24,0,0,0,0,0
12536,22.27,591,0.163,96,80.97,25,P,N,36.59,0,0,0,0,0
12537,29.99,796,0.23,183,206.92,75,N,W,19.73,0,0,0,0,0
12538,17.89,475,0.296,140,94.61,75,K,H,33.34,0,0,0,0,0
12539,30.21,801,0.252,202,230.36,75,N,W,18.21,0,0,0,0,0
12540,29.66,787,0.231,233,203.18,75,N,W,19.49,1,0,0,1,0
12541,30.18,801,0.254,204,231.66,100,N,W,19.71,0,0,0,0,0
12542,29.57,784,0.238,187,208.52,75,N,W,20.52,0,0,0,0,0
12543,22.17,588,0.16,94,78.74,25,P,N,32.91,0,0,0,0,0
12544,22.51,597,0.144,86,72.97,0,P,N,36.31,0,0,0,0,0
12545,22.64,600,0.172,103,88.02,50,P,N,35.14,0,0,0,0,0
12546,17.69,469,0.275,129,86.18,50,K,H,33.21,0,0,0,0,0
12547,16.9,448,0.219,98,62.58,25,K,H,33.86,0,0,0,0,0
12548,17.45,463,0.257,119,78.26,50,K,H,33.03,0,0,0,0,0
12549,17.83,473,0.265,125,84.24,50,K,H,33.77,0,0,0,0,0
12550,17.41,462,0.254,117,77.09,50,K,H,33.35,0,0,0,0,0
12551,22.33,592,0.178,105,88.69,50,P,N,34.99,0,0,0,0,0
12552,29.57,784,0.226,178,197.94,75,N,W,20.99,0,0,0,0,0
12553,29.73,789,0.234,184,206.73,75,N,W,20.32,0,0,0,0,0
12554,22.31,592,0.167,99,83.39,25,P,N,34.71,0,0,0,0,0
12555,29.35,779,0.191,149,164.62,75,N,W,19.01,0,0,0,0,0
12556,29.79,790,0.234,185,207.64,75,N,W,20.74,0,0,0,0,0
12557,22.64,601,0.182,109,93.31,50,P,N,34.32,0,0,0,0,0
12558,17.13,455,0.232,105,68.08,25,K,H,33.18,0,0,0,0,0
12559,29.54,784,0.204,160,178.04,75,N,W,19.54,0,0,0,0,0
12560,29.19,774,0.201,155,171.03,75,N,W,20.14,0,0,0,0,0
12561,30.03,797,0.248,197,223.53,75,N,W,20.72,0,0,0,0,0
12562,17.04,452,0.235,106,68.34,25,K,H,34.36,0,0,0,0,0
12563,17.51,464,0.26,121,79.72,50,K,H,31.49,0,0,0,0,0
12564,18.14,481,0.283,136,93.22,75,K,H,32.55,0,0,0,0,0
12565,17.34,460,0.234,108,70.29,25,K,H,32.67,0,0,0,0,0
12566,22.97,609,0.219,133,115.61,75,P,N,35.11,0,0,0,0,0
12567,29.52,783,0.215,169,187.63,75,N,W,18.94,0,0,0,0,0
12568,30.58,811,0.278,225,259.87,100,N,W,19.92,0,0,0,0,0
12569,30.01,796,0.251,200,225.77,75,N,W,20.37,0,0,0,0,0
12570,22.8,605,0.179,108,93.15,50,P,N,34.23,0,0,0,0,0
12571,30.07,798,0.241,193,218.29,75,N,W,19.57,0,0,0,0,0
12572,22.15,588,0.142,83,69.73,0,P,N,34.76,0,0,0,0,0
12573,30,796,0.24,191,216.36,75,N,W,21.54,0,0,0,0,0
12574,17.06,453,0.239,108,69.65,25,K,H,31.94,0,0,0,0,0
12575,22.35,593,0.179,106,89.52,50,P,N,35.65,0,0,0,0,0
12576,22.86,606,0.191,116,99.67,50,P,N,35.87,0,0,0,0,0
12577,17.67,469,0.27,126,84.23,50,K,H,32.74,0,0,0,0,0
12578,29.94,794,0.245,195,219.65,75,N,W,19.78,0,0,0,0,0
12579,22.52,597,0.161,96,81.5,25,P,N,34.49,0,0,0,0,0
12580,22.86,606,0.198,120,103.68,50,P,N,33.85,0,0,0,0,0
12581,22.41,594,0.172,102,86.55,25,P,N,35.29,0,0,0,0,0
12582,30,796,0.227,180,203.96,75,N,W,20,0,0,0,0,0
12583,29.34,778,0.205,204,176.3,75,N,W,18.52,0,0,0,0,0
12584,16.66,442,0.213,94,59.09,0,K,N,33.38,1,1,1,0,1
12585,29.55,784,0.222,174,194.08,75,N,W,19.72,0,0,0,0,0
12586,17.02,452,0.217,98,63.01,25,K,H,32.64,0,0,0,0,0
12587,30.38,806,0.264,213,243.63,100,N,W,20.08,0,0,0,0,0
12588,22.26,591,0.163,96,80.91,25,P,N,33.47,0,0,0,0,0
12589,29.87,792,0.231,183,206.54,75,N,W,20.04,0,0,0,0,0
12590,17.3,459,0.222,102,66.4,25,K,H,34.08,0,0,0,0,0
12591,22.11,586,0.138,81,67.22,0,P,N,34.41,0,0,0,0,0
12592,22.75,604,0.187,113,96.97,50,P,N,34.42,0,0,0,0,0
12593,30.09,798,0.239,191,216.65,75,N,W,19.25,0,0,0,0,0
12594,29.48,782,0.219,219,190.42,75,N,W,20.02,1,0,0,1,0
12595,22.94,608,0.197,120,103.75,50,P,N,34.86,0,0,0,0,0
12596,17.75,471,0.273,129,86.09,50,K,H,33.09,0,0,0,0,0
12597,30.36,805,0.255,206,235.49,100,N,W,19.69,0,0,0,0,0
12598,29.8,791,0.238,188,211.11,75,N,W,19.36,0,0,0,0,0
12599,30.36,805,0.265,214,244.51,100,N,W,17.47,0,0,0,0,0
12600,17.73,470,0.27,127,84.86,50,K,H,32.65,0,0,0,0,0
12601,16.87,448,0.209,93,59.41,0,K,H,33.36,0,0,0,0,0
12602,17.61,467,0.272,127,84.26,50,K,H,31.13,0,0,0,0,0
12603,17.4,461,0.249,115,75.21,50,K,H,33.11,0,0,0,0,0
12604,30.14,799,0.243,194,220.5,75,N,W,19.75,0,0,0,0,0
12605,29.98,795,0.228,182,205.3,75,N,W,19.34,0,0,0,0,0
12606,30.1,799,0.232,186,210.58,75,N,W,17.83,0,0,0,0,0
12607,22.71,602,0.202,121,103.9,50,P,N,35.76,0,0,0,0,0
12608,17.62,467,0.257,120,79.79,50,K,H,34.93,0,0,0,0,0
12609,29.76,789,0.226,179,200.31,75,N,W,21.44,0,0,0,0,0
12610,23.38,620,0.244,151,133.16,75,P,N,33.74,0,0,0,0,0
12611,22.7,602,0.188,113,96.71,50,P,N,34.72,0,0,0,0,0
12612,30.11,799,0.272,217,246.35,100,N,H,18.28,1,0,1,0,1
12613,22.71,602,0.183,110,94.12,50,P,N,34.8,0,0,0,0,0
12614,22.14,587,0.173,101,84.67,25,P,N,36.19,0,0,0,0,0
12615,17.38,461,0.255,118,77.08,50,K,H,33.45,0,0,0,0,0
12616,17.63,468,0.248,116,77.02,50,K,H,33.84,0,0,0,0,0
12617,22.87,607,0.2,121,104.41,50,P,N,35.66,0,0,0,0,0
12618,17.96,476,0.277,132,89.29,75,K,H,32.7,0,0,0,0,0
12619,22.39,594,0.196,117,98.4,50,P,N,34.88,0,0,0,0,0
12620,17.49,464,0.263,122,80.46,50,K,H,32.56,0,0,0,0,0
12621,22.83,606,0.18,109,93.83,50,P,N,34.62,0,0,0,0,0
12622,17.66,468,0.279,130,86.86,75,K,H,32.11,0,0,0,0,0
12623,17.08,453,0.244,111,71.15,50,K,H,34.5,0,0,0,0,0
12624,16.91,449,0.229,103,65.45,25,K,H,34.08,0,0,0,0,0
12625,22.75,604,0.168,101,86.88,25,P,N,34.53,0,0,0,0,0
12626,22.52,597,0.163,97,82.46,25,P,N,32.68,0,0,0,0,0
12627,17.56,466,0.263,123,81.21,50,K,H,33.1,0,0,0,0,0
12628,17.4,462,0.248,114,75.1,50,K,H,34.09,0,0,0,0,0
12629,22.39,594,0.158,94,79.25,25,P,N,34.1,0,0,0,0,0
12630,22.55,598,0.169,101,86.18,25,P,N,36.51,0,0,0,0,0
12631,21.95,582,0.13,97,62.47,0,P,N,36.93,1,1,0,0,0
12632,22.43,595,0.156,93,78.46,25,P,N,35.68,0,0,0,0,0
12633,22.76,604,0.182,110,94.26,50,P,N,36.48,0,0,0,0,0
12634,22.78,604,0.182,110,94.3,50,P,N,34.81,0,0,0,0,0
12635,29.92,794,0.236,188,211.51,75,N,W,20.19,0,0,0,0,0
12636,17.53,465,0.256,119,78.75,50,K,H,34.61,0,0,0,0,0
12637,17.7,469,0.24,113,75.31,50,K,H,33.04,0,0,0,0,0
12638,30.14,799,0.272,218,247.31,100,N,W,17.95,0,0,0,0,0
12639,17.49,464,0.257,119,78.64,50,K,H,32.28,0,0,0,0,0
12640,29.95,794,0.247,197,221.87,75,N,W,18.52,0,0,0,0,0
12641,17.46,463,0.265,123,80.7,50,K,H,32.39,0,0,0,0,0
12642,22.95,609,0.184,112,96.94,50,P,N,35.06,0,0,0,0,0
12643,30.16,800,0.242,194,220.24,75,N,W,20.06,0,0,0,0,0
12644,29.98,795,0.238,189,213.96,75,N,W,20.74,0,0,0,0,0
12645,30.09,798,0.27,216,244.66,100,N,W,20.63,0,0,0,0,0
12646,22.69,602,0.173,104,89.01,50,P,N,35.02,0,0,0,0,0
12647,29.94,794,0.224,178,200.79,75,N,W,19.56,0,0,0,0,0
12648,17.27,458,0.237,109,70.72,50,K,H,34.05,0,0,0,0,0
12649,30.59,811,0.272,220,254.16,100,N,W,20.53,0,0,0,0,0
12650,17.51,465,0.269,125,82.63,50,K,H,32.84,0,0,0,0,0
12651,22.36,593,0.163,96,81.24,25,P,N,35.85,0,0,0,0,0
12652,22.05,585,0.138,81,66.94,0,P,N,35.57,0,0,0,0,0
12653,17.55,466,0.268,125,82.54,50,K,H,32.62,0,0,0,0,0
12654,17.29,459,0.237,109,70.97,50,K,H,35.14,0,0,0,0,0
12655,30.04,797,0.248,197,223.6,75,N,W,19.31,0,0,0,0,0
12656,29.94,794,0.249,198,223.07,75,N,W,19.05,0,0,0,0,0
12657,22.34,593,0.163,97,81.46,25,P,N,34.88,0,0,0,0,0
12658,17.43,462,0.28,130,85.13,50,K,H,33.62,0,0,0,0,0
12659,30.36,805,0.263,212,242.74,100,N,W,19.34,0,0,0,0,0
12660,17.28,458,0.233,107,69.42,25,K,H,32.36,0,0,0,0,0
12661,17.5,464,0.248,115,75.82,50,K,H,32.89,0,0,0,0,0
12662,22.54,598,0.145,87,73.56,0,P,N,35.13,0,0,0,0,0
12663,17.63,468,0.263,123,81.85,50,K,H,33.95,0,0,0,0,0
12664,22.65,601,0.18,108,92.22,50,P,N,34.52,0,0,0,0,0
12665,17.81,472,0.273,129,86.67,50,K,H,32.7,0,0,0,0,0
12666,30.15,800,0.254,203,230.75,100,N,W,19.05,0,0,0,0,0
12667,30.06,797,0.25,200,226.06,75,N,W,19.95,0,0,0,0,0
12668,22.4,594,0.181,108,91.07,50,P,N,35.01,0,0,0,0,0
12669,29.32,778,0.209,163,179.86,75,N,W,18.8,0,0,0,0,0
12670,22.51,597,0.179,107,90.74,50,P,N,35.94,0,0,0,0,0
12671,17.44,463,0.25,116,76.11,50,K,H,31.13,0,0,0,0,0
12672,16.84,447,0.217,126,61.55,25,K,H,33,0,0,0,0,0
12673,22.55,598,0.162,97,82.45,25,P,N,35.43,0,0,0,0,0
12674,22.5,597,0.175,105,88.78,50,P,N,36.43,0,0,0,0,0
12675,22.87,607,0.194,118,101.59,50,P,N,35.56,0,0,0,0,0
12676,17.37,461,0.246,113,74.13,50,K,H,33.9,0,0,0,0,0
12677,17.97,477,0.27,129,87.1,50,K,H,33.08,0,0,0,0,0
12678,30.28,803,0.254,204,232.53,100,N,W,21.77,0,0,0,0,0
12679,30.09,798,0.25,199,226.25,75,N,W,20.02,0,0,0,0,0
12680,22.65,601,0.175,105,89.68,50,P,N,34.1,0,0,0,0,0
12681,30.28,803,0.249,200,228.39,75,N,W,20.56,0,0,0,0,0
12682,29.72,788,0.232,183,204.93,75,N,W,17.87,0,0,0,0,0
12683,29.61,785,0.231,232,202.33,75,N,N,20.21,1,0,1,1,1
12684,17.04,452,0.229,134,66.43,25,K,H,33.18,1,0,1,0,0
12685,22.31,592,0.164,97,81.9,25,P,N,33.96,0,0,0,0,0
12686,29.63,786,0.221,173,193.59,75,N,W,19.92,0,0,0,0,0
12687,30.71,815,0.277,225,260.98,100,N,W,20.44,0,0,0,0,0
12688,22.42,595,0.206,122,103.4,50,P,N,33.84,0,0,0,0,0
12689,30.18,801,0.241,193,219.37,75,N,W,19.99,0,0,0,0,0
12690,21.85,580,0.134,99,64.01,0,P,N,35.5,1,1,0,0,0
12691,30.32,804,0.262,211,240.82,100,N,W,19.45,0,0,0,0,0
12692,22.6,599,0.187,112,95.73,50,P,N,35.4,0,0,0,0,0
12693,22.45,596,0.18,107,90.89,50,P,N,35.3,0,0,0,0,0
12694,30.06,797,0.255,203,230.01,100,N,H,18.99,1,0,0,0,1
12695,30.13,799,0.24,192,218.2,75,N,W,20.28,0,0,0,0,0
12696,17.38,461,0.245,113,74.02,50,K,H,33.99,0,0,0,0,0
12697,22.02,584,0.169,99,82,25,P,N,33.82,0,0,0,0,0
12698,17.59,467,0.262,122,81.15,50,K,H,32.06,0,0,0,0,0
12699,17.23,457,0.236,108,70,25,K,H,31.07,0,0,0,0,0
12700,30.05,797,0.238,190,215.23,75,N,W,19.11,0,0,0,0,0
12701,29.81,791,0.243,192,215.69,75,N,W,18.04,0,0,0,0,0
12702,17.29,459,0.229,105,68.41,25,K,H,34.1,0,0,0,0,0
12703,29.97,795,0.236,188,212.13,75,N,W,19.47,0,0,0,0,0
12704,22.79,605,0.196,118,101.57,50,P,N,34.78,0,0,0,0,0
12705,22.23,590,0.175,103,86.7,25,P,N,36.11,0,0,0,0,0
12706,22.76,604,0.174,105,90.2,50,P,N,34.99,0,0,0,0,0
12707,22.69,602,0.18,109,92.82,50,P,N,33.85,0,0,0,0,0
12708,17.69,469,0.261,122,81.7,50,K,H,31.79,0,0,0,0,0
12709,22.12,587,0.167,98,81.46,25,P,N,35.07,0,0,0,0,0
12710,29.67,787,0.223,225,196.43,75,N,W,19.96,1,0,0,1,0
12711,17.26,458,0.245,112,72.87,50,K,H,33.03,0,0,0,0,0
12712,21.82,579,0.117,88,55.8,0,P,N,34.85,1,1,0,0,0
12713,22.77,604,0.192,116,99.43,50,P,N,35.07,0,0,0,0,0
12714,22.61,600,0.163,98,83.44,25,P,N,33.37,0,0,0,0,0
12715,17.6,467,0.241,112,74.55,50,K,H,32.99,0,0,0,0,0
12716,22.39,594,0.169,100,84.64,25,P,N,35.95,0,0,0,0,0
12717,30.04,797,0.244,195,220.52,75,N,W,18.45,0,0,0,0,0
12718,22.63,600,0.193,116,99.06,50,P,N,35.77,0,0,0,0,0
12719,29.6,785,0.211,165,184.43,75,N,W,19.5,0,0,0,0,0
12720,22.88,607,0.197,120,103.35,50,P,N,35.05,0,0,0,0,0
12721,29.69,788,0.227,179,200.25,75,N,W,19.85,0,0,0,0,0
12722,22.14,587,0.163,96,79.95,25,P,N,35.03,0,0,0,0,0
12723,30.16,800,0.245,196,222.49,75,N,W,19.85,0,0,0,0,0
12724,22.7,602,0.203,122,104.72,50,P,N,34.99,0,0,0,0,0
12725,29.95,795,0.245,195,219.81,75,N,W,19.23,0,0,0,0,0
12726,17.6,467,0.273,128,84.65,50,K,H,33.68,0,0,0,0,0
12727,17.89,475,0.292,138,93.39,75,K,H,34.1,0,0,0,0,0
12728,23.13,613,0.217,133,116.23,75,P,N,34.19,0,0,0,0,0
12729,17.54,465,0.255,119,78.37,50,K,H,31.22,0,0,0,0,0
12730,17.6,467,0.242,113,74.95,50,K,H,32.69,0,0,0,0,0
12731,17.66,469,0.246,115,76.72,50,K,H,33.67,0,0,0,0,0
12732,17.16,455,0.238,108,69.98,25,K,H,34.04,0,0,0,0,0
12733,22.3,592,0.143,85,71.08,0,P,N,34.23,0,0,0,0,0
12734,22.83,606,0.207,125,107.88,75,P,N,34.47,0,0,0,0,0
12735,16.99,451,0.238,139,68.69,25,K,H,33.38,1,0,1,0,0
12736,18.11,480,0.307,147,100.64,75,K,H,33.91,0,0,0,0,0
12737,22.29,591,0.173,102,85.96,25,P,N,34.89,0,0,0,0,0
12738,30.4,806,0.27,218,249.63,100,N,W,20.27,0,0,0,0,0
12739,17.33,460,0.226,104,68.03,25,K,H,33.03,0,0,0,0,0
12740,29.7,788,0.227,179,200.05,75,N,W,19.15,0,0,0,0,0
12741,22.07,585,0.159,121,77.47,25,P,N,35.17,0,0,0,0,0
12742,30.17,800,0.253,202,230.03,75,N,W,20.01,0,0,0,0,0
12743,17.47,464,0.261,121,79.74,50,K,H,35.39,0,0,0,0,0
12744,29.63,786,0.232,183,204.04,75,N,W,19.39,0,0,0,0,0
12745,23.04,611,0.194,119,103.13,50,P,N,34.05,0,0,0,0,0
12746,17.63,468,0.262,122,81.4,50,K,H,31.51,0,0,0,0,0
12747,29.9,793,0.234,186,209.23,75,N,W,20.11,0,0,0,0,0
12748,17.22,457,0.241,110,71.31,50,K,H,33.36,0,0,0,0,0
12749,17,451,0.224,101,64.67,25,K,H,32.04,0,0,0,0,0
12750,30,796,0.261,208,235.25,100,N,W,19.74,0,0,0,0,0
12751,17.27,458,0.234,107,69.72,25,K,H,33.18,0,0,0,0,0
12752,17.2,456,0.222,101,65.66,25,K,H,31.41,0,0,0,0,0
12753,17.18,456,0.231,105,68.2,25,K,H,35.12,0,0,0,0,0
12754,30.1,799,0.257,205,232.66,100,N,W,20.15,0,0,0,0,0
12755,17.31,459,0.265,121,79.26,50,K,H,31.19,0,0,0,0,0
12756,21.75,577,0.114,66,53.92,0,P,N,34.32,1,1,0,0,0
12757,22.69,602,0.195,117,100.28,50,P,N,34.56,0,0,0,0,0
12758,30.22,802,0.273,219,249.15,100,N,W,20.13,0,0,0,0,0
12759,17.65,468,0.256,120,79.77,50,K,H,33.06,0,0,0,0,0
12760,16.89,448,0.223,100,63.69,25,K,H,32.12,0,0,0,0,0
12761,30.11,799,0.248,198,224.61,75,N,W,18.59,0,0,0,0,0
12762,21.99,583,0.147,143,71.28,0,P,N,36.11,1,1,1,1,0
12763,30.41,807,0.242,195,223.74,75,N,W,18.44,0,0,0,0,0
12764,17.16,455,0.252,115,74.28,50,K,H,32.74,0,0,0,0,0
12765,29.44,781,0.219,171,189.86,75,N,W,20.34,0,0,0,0,0
12766,29.83,791,0.237,187,210.78,75,N,W,20.92,0,0,0,0,0
12767,23.15,614,0.219,135,117.39,75,P,N,35.34,0,0,0,0,0
12768,29.95,794,0.245,195,219.97,75,N,W,20.67,0,0,0,0,0
12769,17.29,459,0.245,112,73.25,50,K,H,34.19,0,0,0,0,0
12770,22.63,600,0.176,105,89.93,50,P,N,34.98,0,0,0,0,0
12771,22.58,599,0.19,114,97.03,50,P,N,34.92,0,0,0,0,0
12772,30.18,801,0.248,199,226.26,75,N,W,20.07,0,0,0,0,0
12773,17,451,0.225,101,64.91,25,K,H,33.57,0,0,0,0,0
12774,17.1,454,0.226,102,66.03,25,K,H,31.02,0,0,0,0,0
12775,17.85,474,0.278,132,88.64,75,K,H,32.17,0,0,0,0,0
12776,21.99,583,0.126,94,60.86,0,P,N,35.46,1,1,0,0,0
12777,30.23,802,0.259,208,236.67,100,N,W,19.11,0,0,0,0,0
12778,22.76,604,0.207,125,107.34,50,P,N,34.92,0,0,0,0,0
12779,17.25,458,0.241,110,71.6,50,K,H,33.19,0,0,0,0,0
12780,29.72,788,0.214,168,188.7,75,N,N,18.92,1,0,0,0,1
12781,29.69,788,0.231,182,203.91,75,N,W,19.37,0,0,0,0,0
12782,30.27,803,0.253,203,231.52,100,N,W,19.8,0,0,0,0,0
12783,29.55,784,0.226,177,197.67,75,N,W,20.06,0,0,0,0,0
12784,16.78,445,0.21,93,59.13,0,K,H,34.61,0,0,0,0,0
12785,16.97,450,0.22,99,63.35,25,K,H,31.68,0,0,0,0,0
12786,17.32,460,0.267,123,80.01,50,K,H,33.71,0,0,0,0,0
12787,22.86,606,0.19,115,99.05,50,P,N,35.44,0,0,0,0,0
12788,17.4,462,0.236,109,71.36,50,K,H,33.55,0,0,0,0,0
12789,17.34,460,0.25,115,75.1,50,K,H,32.17,0,0,0,0,0
12790,29.77,790,0.227,179,200.88,75,N,W,20,0,0,0,0,0
12791,22.82,605,0.176,107,91.83,50,P,N,35.72,0,0,0,0,0
12792,17.74,471,0.291,137,91.69,75,K,H,34.36,0,0,0,0,0
12793,17.21,457,0.244,112,72.38,50,K,H,31.47,0,0,0,0,0
12794,22.59,599,0.177,106,90.59,50,P,N,34.41,0,0,0,0,0
12795,22.27,591,0.157,92,77.61,25,P,N,33.94,0,0,0,0,0
12796,22.8,605,0.199,121,103.63,50,P,N,34.89,0,0,0,0,0
12797,29.71,788,0.229,180,201.89,75,N,W,17.5,0,0,0,0,0
12798,30.15,800,0.267,213,242.61,100,N,W,20.84,0,0,0,0,0
12799,30.14,800,0.229,183,207.85,75,N,W,17.44,0,0,0,0,0
